question , option1 , option2 , option3 , option4 , answer
WHICH MOVIE WON THE BEST MOTION PICTURE OF THE YEAR 2019 OSCAR? , Black Panther , A Star Is Born , Bohemian Rhapsody , Green Book , Green Book 
WHAT IS THE VALIDITY TIME PERIOD OF A CHEQUE? , 10 Months , 3 Months , 5 Months , 1 Month , 3 Months 
WHICH TEAM WON THE FIFA 2019 WOMEN'S WORLD CUP? , The Netherlands , England , Sweden , The United States , The United States 
WHEN IS NATIONAL SCIENCE DAY CELEBRATED? , March 23 , January 12 , Febuary 23 , June 5 , Febuary 23 
WHICH COUNTRY APPOINTED THE WORLD'S YOUNGEST PRIME MINISTER? , Liechtenstein , Austria , Finland , Denmark , Finland 
WHICH HISTORICAL CONSTRUCTION WAS DAMAGED BY A FIRE IN 2019? , Pyramid Of Menkaure , Notre Dame Cathedral , Acropolis Of Athens , Mount Rushmore , Notre Dame Cathedral 
THE VENUE OF WORLD CUP CRICKET 2023 IS? , India , South Africa , England , New Zealand , India 
WHERE ARE ISRO HEADQUARTERS? , Chennai , Bengaluru , Kanyakumari , Sriharikota , Bengaluru 
WHICH ONE IS THE SMALLEST OCEAN IN THE WORLD? , Indian , Pacific , Atlantic , Arctic , Arctic 
WHICH COUNTRY GIFTED THE STATUE OF LIBERTY TO THE USA IN 1886? , France , Canada , Brazil , England , France 
WHO WAS THE FIRST ASIAN TO BE AWARDED A NOBEL PRIZE? , Rabindranath Tagore , Gao Xingjian , C.V. Raman , Tenzin Gyatso , Rabindranath Tagore 
RECENTLY OBSERVED 'PARAKRAM PARV' IS RELATED TO? , Bravery Awards , Surgical Strike , Kerela Floods , Airlifting Missions , Surgical Strike 
DEAD SEA IS LOCATED BETWEEN WHICH TWO COUNTRIES? , Jordan and Sudan , Jordan and Israel , Turkey and UAE , UAE and Egypt , Jordan and Israel 
IN WHICH OCEAN IS THE 'BERMUDA TRIANGLE' LOCATED? , Atlantic , Arctic , Indian , Pacific , Atlantic 
WHICH COUNTRY IS KNOWN AS THE 'PLAYGROUND OF EUROPE'? , Austria , Holland , Switzerland , Italy , Switzerland 
WHO WAS THE FIRST PERSON EVER TO CLIMB MOUNT EVEREST? , Edmund Hillary , Rajesh Sharma , Charles Hillary , Johan Don , Edmund Hillary 
WHICH WAS THE FIRST COUNTRY TO PRINT A BOOK? , China , India , Japan , Germany , China 
WHO WAS THE FIRST PRESIDENT OF THE USA? , Henry Waterloo , Robert Walpole , George Washington , George Bush , George Washington 
WHICH WAS THE FIRST COUNTRY TO PREPARE A CONSTITUTION? , USA , India , UK , France , USA 
WHO WAS THE FIRST EUROPEAN TO ATTACK INDIA? , Alexander The Great , Henry VII , Henry Waterloo , Napoleon Bonaparte , Alexander The Great 
